"","X.1","X","worker_id","content","inquisitiveness","listening","avoiding_repetition","fluency","making_sense"
"1",1,0,1,"Anonymized",2,4,3,4,4
"2",2,1,2,"Anonymized",3,4,3,4,4
"3",3,2,3,"Anonymized",2,3,1,4,3
"4",4,7,4,"Anonymized",3,4,1,4,4
"5",6,11,5,"Anonymized",2,4,3,4,4
"6",8,20,6,"Anonymized",3,4,1,3,4
"7",9,21,7,"Anonymized",3,4,2,3,4
"8",10,25,8,"Anonymized",3,4,1,3,3
"9",14,37,9,"Anonymized",3,4,3,4,4
"10",15,38,10,"Anonymized",3,4,3,4,4
"11",19,45,11,"Anonymized",3,3,2,2,4
"12",22,48,12,"Anonymized",3,4,3,4,4
"13",23,50,13,"Anonymized",3,4,3,4,4
"14",24,51,14,"Anonymized",3,4,2,4,4
"15",28,60,15,"Anonymized",1,3,2,2,3
"16",29,61,16,"Anonymized",2,4,3,2,3
"17",33,65,17,"Anonymized",3,4,3,2,4
"18",34,66,18,"Anonymized",3,4,2,4,4
"19",35,67,19,"Anonymized",3,4,1,2,4
"20",36,69,20,"Anonymized",3,2,1,2,4
"21",41,75,21,"Anonymized",2,3,1,1,4
"22",43,78,22,"Anonymized",3,4,3,4,4
"23",46,81,23,"Anonymized",3,4,3,4,4
"24",47,82,24,"Anonymized",3,4,3,4,4
"25",48,84,25,"Anonymized",2,4,3,4,4
"26",49,86,26,"Anonymized",3,4,3,3,4
"27",51,88,27,"Anonymized",3,4,3,4,4
"28",54,93,28,"Anonymized",3,2,1,1,3
"29",58,97,29,"Anonymized",3,4,3,4,4
"30",60,100,30,"Anonymized",2,4,3,4,4
"31",68,116,31,"Anonymized",3,4,1,2,4
"32",73,123,32,"Anonymized",3,4,3,4,4
"33",74,124,33,"Anonymized",3,4,3,4,4
"34",75,125,34,"Anonymized",3,4,3,4,4
"35",77,130,35,"Anonymized",3,4,3,4,4
"36",78,131,36,"Anonymized",3,4,2,3,4
"37",79,132,37,"Anonymized",3,4,1,3,4
"38",80,138,38,"Anonymized",3,4,3,4,4
"39",82,143,39,"Anonymized",4,2,1,1,2
"40",83,144,40,"Anonymized",3,4,3,4,4
"41",85,148,41,"Anonymized",3,4,1,3,4
"42",86,149,42,"Anonymized",3,4,2,4,4
"43",89,152,43,"Anonymized",3,4,3,4,4
"44",91,156,44,"Anonymized",3,4,1,1,4
"45",94,165,45,"Anonymized",3,4,3,4,4
"46",95,167,46,"Anonymized",3,4,3,4,4
"47",97,172,47,"Anonymized",3,4,3,4,4
"48",99,177,48,"Anonymized",2,4,3,4,3
"49",100,179,49,"Anonymized",3,4,3,4,4
"50",113,202,50,"Anonymized",3,4,3,4,4
"51",114,204,51,"Anonymized",3,4,3,4,4
"52",115,206,52,"Anonymized",2,4,3,4,4
"53",116,207,53,"Anonymized",3,4,3,4,4
"54",118,212,54,"Anonymized",4,3,1,2,4
"55",119,213,55,"Anonymized",3,4,3,4,4
"56",121,217,56,"Anonymized",3,4,3,4,4
"57",122,218,57,"Anonymized",3,4,3,4,4
"58",125,222,58,"Anonymized",2,4,1,2,4
"59",128,231,59,"Anonymized",3,4,3,4,4
"60",135,239,60,"Anonymized",3,4,3,4,4
"61",137,241,61,"Anonymized",2,4,3,4,4
"62",140,251,62,"Anonymized",3,3,1,2,3
"63",144,255,63,"Anonymized",2,4,3,4,4
"64",145,269,64,"Anonymized",3,4,3,2,4
